borough,daily_30day,daily_7day,daily_other,total,pct_30day,pct_7day,pct_other
Bronx,81213.35367,122030.5361,181331.1102,384575,21%,32%,47%
Brooklyn,303883.3754,197731.4696,433603.155,935218,32%,21%,46%
Manhattan,632098.4103,347485.1869,905135.4027,1884719,34%,18%,48%
Queens,200795.5779,127080.2403,299204.1818,627080,32%,20%,48%
NA,1322.486148,1147.090192,3917.42366,6387,21%,18%,61%
