State,Tract,County,StateLegislativeDistrictsUpper
36,002300,071,042
36,002300,109,051
36,002300,109,054
36,002300,119,037
36,002400,005,032
36,002400,005,034
36,002400,029,063
36,002400,055,056
36,002400,061,027
36,002400,067,053
36,002400,081,010
36,002400,081,015
36,002401,119,037
36,002402,119,037
36,002403,119,037
36,002404,119,037
36,002405,119,037
36,002500,001,044
36,002500,005,029
36,002500,061,026
36,002500,081,012
36,002502,029,063
36,002600,001,044
36,002600,081,010
36,002600,081,015
36,002600,119,036
36,002601,061,026
36,002602,061,027
36,002700,055,056
36,002700,061,026
36,002700,067,053
36,002700,085,023
36,002700,119,036
36,002701,005,029
36,002702,005,029
36,002702,029,063
36,002800,005,032
36,002800,005,034
36,002800,029,063
36,002800,061,027
36,002800,081,010
36,002800,119,036
36,002900,029,063
36,002900,055,055
36,002900,061,026
36,002900,085,023
36,002900,119,036
36,002901,047,025
36,002901,047,026
36,002901,067,053
36,003000,029,063
36,003000,047,022
36,003000,047,023
36,003000,055,055
36,003000,055,056
36,003000,067,050
36,003000,067,053
36,003000,081,010
36,003000,119,036
36,003001,061,026
36,003002,061,026
36,003100,005,029
36,003100,029,063
36,003100,047,025
36,003100,055,055
36,003100,061,026
36,003100,081,012
36,003100,119,036
36,003200,055,055
36,003200,055,056
36,003200,055,061
36,003200,061,027
36,003200,067,050
36,003200,067,053
36,003200,081,010
36,003200,081,015
36,003200,119,036
36,003300,005,029
36,003300,047,025
36,003300,055,055
36,003300,061,026
36,003300,081,012
36,003300,085,023
36,003300,119,036
36,003301,029,063
36,003302,029,063
36,003400,029,063
36,003400,047,022
36,003400,047,023
36,003400,055,055
36,003400,055,056
36,003400,055,061
36,003400,061,027
36,003400,067,053
36,003400,081,012
36,003400,081,015
36,003400,119,036
36,003500,005,029
36,003500,029,063
36,003500,047,025
36,003500,055,055
36,003500,055,056
36,003500,055,061
36,003500,067,053
36,003500,119,036
36,003600,029,063
36,003600,047,022
36,003600,055,055
36,003600,055,056
36,003600,081,012
36,003600,081,015
36,003600,085,023
36,003600,119,036
36,003601,061,026
36,003601,067,053
36,003602,061,026
36,003602,067,053
36,003700,005,029
36,003700,029,063
36,003700,047,025
36,003700,055,055
36,003700,061,026
36,003700,061,027
36,003700,081,012
36,003700,119,036
36,003800,005,034
36,003800,029,063
36,003800,047,022
36,003800,047,023
36,003800,061,027
36,003800,067,053
36,003800,081,015
36,003800,119,034
36,003800,119,036
36,003802,055,056
36,003805,055,056
36,003805,055,061
36,003900,005,029
36,003900,047,025
36,003900,055,056
36,003900,061,026
36,003900,067,053
36,003900,081,012
36,003900,085,023
36,003900,119,034
36,003900,119,036
36,003901,029,063
36,004000,055,056
36,004000,061,027
36,004000,067,053
36,004000,085,023
36,004000,119,036
36,004001,005,032
36,004001,005,034
36,004001,029,060
36,004001,029,063
36,004001,081,015
36,004002,081,015
36,004100,005,029
36,004100,029,063
36,004100,047,025
36,004100,055,056
36,004100,061,026
36,004100,119,036
36,004200,005,032
36,004200,005,034
36,004200,029,063
36,004200,061,027
36,004200,067,053
36,004200,081,012
36,004200,081,015
36,004200,119,034
36,004200,119,036
36,004300,005,029
36,004300,005,032
36,004300,029,063
36,004300,047,025
36,004300,047,026
