Station (alphabetical by borough),Boro,2008,2009,2010,2011,2012,2013,2014
"Church Av (B,Q) ",B,16295,15769,14696,14876,16042,17638,17473
68 St-Hunter College (6) ,M,36269,35323,34984,36026,36109,36562,36208
"Eastern Pkwy-Brooklyn Museum (2,3) ",B,4842,4754,4813,4835,4795,4938,4889
215 St (1) ,M,1824,1979,1949,2006,1996,2078,2057
Kings Hwy (F) ,B,3513,3323,3478,3605,3681,3655,3616
167 St (4) ,Bx,9125,9054,9220,9351,9699,9904,9793
Ditmas Av (F) ,B,4728,4496,4471,4554,4669,4676,4622
"Grand Army Plaza (2,3) ",B,7841,7661,7722,7882,8068,8066,7971
Woodlawn (4) ,Bx,6723,6980,7513,7852,7797,7776,7683
137 St-City College (1) ,M,14454,14181,14158,14528,14854,14947,14768
170 St (4) ,Bx,8661,8848,9234,9259,9518,9525,9403
Mosholu Pkwy (4) ,Bx,8468,9078,9439,9578,9596,9588,9459
103 St (1) ,M,13573,13409,12968,13292,13557,13500,13318
"36 Av (N,Q) ",Q,7395,7187,7352,7194,7669,7688,7577
Avenue I (F) ,B,2422,2370,2328,2290,2284,2283,2250
Union St (R) ,B,6581,6591,6738,7010,6935,6528,6415
Mt Eden Av (4) ,Bx,5174,5615,5848,5748,5859,5995,5891
Cathedral Pkwy-110 St (1) ,M,13382,13277,13116,13650,13870,13874,13630
23 St (6) ,M,32018,30908,30929,31206,31053,31777,31212
Bedford Park Blvd-Lehman College (4) ,Bx,5519,5701,5897,6052,6034,6201,6089
Cortlandt St (R) ,M,0,347,3361,4745,6393,5497,5393
Kingsbridge Rd (4) ,Bx,8980,9320,9754,10153,10377,10431,10231
"Kew Gardens-Union Turnpike (E,F) ",Q,26996,26411,26763,27280,27884,28289,27693
Rockaway Blvd (A) ,Q,7422,7441,7715,7786,8045,8662,8474
Clinton-Washington Avs (G) ,B,4728,4736,4942,5190,5183,5294,5178
"Sterling St (2,5) ",B,5417,5315,5597,5755,5899,5915,5783
"4 Av (F,G)/9 St (R) ",B,10789,10895,11412,12479,13471,13156,12835
Mets-Willets Point (7) ,Q,5406,4998,4648,4472,4618,4675,4555
Fordham Rd (4) ,Bx,11511,11732,12080,12330,12560,12558,12231
Sutphin Blvd (F) ,Q,4464,4404,4605,4693,4760,4932,4795
Neptune Av (F) ,B,1611,1583,1720,1794,1705,1749,1698
21 St (G) ,Q,1001,1015,1050,1123,1478,1309,1265
2 Av (F) ,M,17552,17310,17090,17364,17540,17801,17183
Avenue U (F) ,B,2153,2142,2331,2229,2302,2296,2215
"Bergen St (2,3) ",B,4033,4015,4127,4344,4472,4070,3923
18 Av (F) ,B,4209,4008,4145,4205,4220,4204,4050
Bay Pkwy (F) ,B,1414,1336,1386,1398,1526,1575,1516
Avenue X (F) ,B,2857,2736,2789,2810,2877,2972,2859
Rector St (1) ,M,8072,7983,8165,8902,10065,11323,10869
"Carroll St (F,G) ",B,10051,9786,10002,11906,13193,12339,11744
Roosevelt Island (F) ,M,6071,5816,7870,6576,6430,6321,5998
Park Pl (S) ,B,2427,2305,2261,2259,2201,2077,1968
Greenpoint Av (G) ,B,7660,7392,7523,8073,8212,8461,7819
Lorimer St (L)/Metropolitan Av (G),B,11436,11846,12556,12815,13344,14004,12547
Castle Hill Av (6) ,Bx,6969,6708,7617,7540,7567,5632,4938
Rector St (R) ,M,10479,9487,8588,8083,6912,5362,4127
104 St (A) ,Q,1827,1715,1693,1751,1725,1736,1333
City Hall (R) ,M,11107,10636,9840,8954,7330,5666,4344
88 St (A) ,Q,2708,2638,2648,2680,2677,2719,2065
Zerega Av (6) ,Bx,2455,2404,2539,2741,2849,3253,2012
Buhre Av (6) ,Bx,2975,2980,3011,3315,3418,3718,2155
Aqueduct-North Conduit Av (A) ,Q,889,830,791,1386,2430,1951,1122
Howard Beach-JFK Airport (A) ,Q,2966,2801,2667,2729,3227,4972,2835
Cortlandt St (1) ,M,0,0,0,0,0,0,0
