GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD02_VD39,Margin of Error; Total: - Walked: - 55 to 59 years
HD01_VD40,Estimate; Total: - Walked: - 60 to 64 years
HD02_VD40,Margin of Error; Total: - Walked: - 60 to 64 years
HD01_VD41,Estimate; Total: - Walked: - 65 years and over
HD02_VD41,Margin of Error; Total: - Walked: - 65 years and over
HD01_VD42,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD02_VD42,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD01_VD43,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years"
HD02_VD43,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years"
HD01_VD44,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years"
HD02_VD44,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years"
HD01_VD45,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years"
HD02_VD45,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years"
HD01_VD46,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years"
HD02_VD46,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years"
HD01_VD47,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years"
HD02_VD47,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years"
HD01_VD48,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years"
HD02_VD48,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years"
HD01_VD49,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over"
HD02_VD49,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over"
HD01_VD50,Estimate; Total: - Worked at home:
HD02_VD50,Margin of Error; Total: - Worked at home:
HD01_VD51,Estimate; Total: - Worked at home: - 16 to 19 years
HD02_VD51,Margin of Error; Total: - Worked at home: - 16 to 19 years
HD01_VD52,Estimate; Total: - Worked at home: - 20 to 24 years
HD02_VD52,Margin of Error; Total: - Worked at home: - 20 to 24 years
HD01_VD53,Estimate; Total: - Worked at home: - 25 to 44 years
HD02_VD53,Margin of Error; Total: - Worked at home: - 25 to 44 years
HD01_VD54,Estimate; Total: - Worked at home: - 45 to 54 years
HD02_VD54,Margin of Error; Total: - Worked at home: - 45 to 54 years
HD01_VD55,Estimate; Total: - Worked at home: - 55 to 59 years
HD02_VD55,Margin of Error; Total: - Worked at home: - 55 to 59 years
HD01_VD56,Estimate; Total: - Worked at home: - 60 to 64 years
HD02_VD56,Margin of Error; Total: - Worked at home: - 60 to 64 years
HD01_VD57,Estimate; Total: - Worked at home: - 65 years and over
HD02_VD57,Margin of Error; Total: - Worked at home: - 65 years and over
